N: 1000
451.107 ms
449.776 ms
425.848 ms
448.578 ms
440.234 ms
416.039 ms
415.981 ms
426.352 ms
421.92 ms
428.178 ms
427.925 ms
418.096 ms
418.11 ms
432.353 ms
432.976 ms
438.119 ms
438.255 ms
456.562 ms
422.683 ms
422.755 ms
419.959 ms
429.337 ms
430.445 ms
429.646 ms
429.074 ms
421.174 ms
422.955 ms
438.304 ms
438.156 ms
422.82 ms
N: 2000
1.39503 s
1.38445 s
1.37495 s
1.39052 s
1.38966 s
1.38359 s
1.38778 s
1.38889 s
1.38506 s
1.3878 s
1.3857 s
1.38698 s
1.42501 s
1.40096 s
1.39371 s
1.3799 s
1.38478 s
1.38733 s
1.39307 s
1.406 s
1.37763 s
1.37324 s
1.394 s
1.38797 s
1.37856 s
1.3874 s
1.40329 s
1.38758 s
1.38612 s
1.38782 s
N: 3000
2.94703 s
2.9549 s
2.94671 s
2.94536 s
2.94477 s
2.9526 s
2.95663 s
2.94549 s
3.04725 s
2.95413 s
2.96931 s
2.98109 s
2.95599 s
2.95898 s
2.94943 s
2.97082 s
2.98236 s
2.96158 s
2.98371 s
2.95313 s
2.95655 s
2.94994 s
2.95502 s
2.94525 s
2.94412 s
3.04275 s
2.94062 s
2.95932 s
2.98785 s
2.94382 s
N: 4000
4.89014 s
4.88005 s
4.92426 s
4.91854 s
4.91286 s
4.88991 s
4.89672 s
4.90075 s
4.88401 s
4.8811 s
4.88316 s
4.89458 s
4.8835 s
4.89241 s
4.88992 s
4.89426 s
4.88441 s
4.88442 s
4.88465 s
4.9073 s
4.88567 s
4.89739 s
4.88994 s
4.8915 s
4.88763 s
4.89999 s
4.88659 s
4.89408 s
4.8882 s
4.89234 s
N: 5000
8.10162 s
8.10232 s
8.08948 s
8.1036 s
8.10099 s
8.09266 s
8.12552 s
8.10313 s
8.10496 s
8.09911 s
8.09052 s
8.09672 s
8.76945 s
8.08968 s
8.1002 s
8.08828 s
8.14407 s
8.11855 s
8.0895 s
8.08201 s
8.08501 s
8.08424 s
8.08963 s
8.0844 s
8.08183 s
8.08433 s
8.09186 s
8.08603 s
8.10359 s
8.08407 s
N: 6000
11.3438 s
11.3361 s
11.3528 s
11.424 s
11.3401 s
11.3188 s
11.345 s
11.3105 s
11.3425 s
11.3414 s
11.3501 s
11.3359 s
11.37 s
11.3792 s
11.3313 s
11.3379 s
11.3432 s
11.3304 s
11.3516 s
11.3392 s
11.3307 s
11.3337 s
11.3467 s
11.3784 s
11.3459 s
11.3523 s
11.3797 s
11.3571 s
11.3439 s
11.3522 s
N: 7000
15.7021 s
15.7083 s
15.7217 s
15.7596 s
15.7539 s
15.7722 s
15.6986 s
15.7553 s
15.6984 s
15.7071 s
15.6961 s
15.6955 s
15.698 s
15.7129 s
15.7176 s
15.7066 s
15.76 s
15.7505 s
15.8092 s
15.7638 s
15.7316 s
15.9452 s
15.7576 s
15.768 s
15.7268 s
15.7665 s
15.7696 s
15.7485 s
15.7271 s
15.8062 s
N: 8000
17.0279 s
17.0143 s
17.0285 s
17.0393 s
17.0229 s
17.0146 s
17.0163 s
17.0068 s
17.0034 s
17.0179 s
17.0039 s
17.0031 s
17.0009 s
17.078 s
17.0099 s
17.0007 s
17.0274 s
17.0173 s
17.0271 s
16.9987 s
17.0063 s
17.0127 s
17.0032 s
16.9998 s
17.0093 s
17.0099 s
16.9999 s
16.9967 s
17.0142 s
17.0103 s
